horizon,worst_up_bps,worst_down_bps
worst_1m,50.00000000000004,-25.00000000000002
worst_3m,150.0,-75.0
worst_6m,224.99999999999997,-100.00000000000001
worst_12m,224.99999999999997,-175.0
