window,worst_up,worst_down
1M,0.13333333333333353,-0.06666666666666654
3M,0.3999999999999999,-0.13636363636363635
6M,0.6428571428571428,-0.20000000000000007
12M,0.6428571428571428,-0.30434782608695654
