horizon,worst_up_bps,worst_down_bps
worst_1m,120.90000000000003,-78.30000000000003
worst_3m,167.09999999999994,-132.99999999999986
worst_6m,222.49999999999997,-167.39999999999998
worst_12m,211.59999999999997,-199.89999999999992
