horizon,worst_up_bps,worst_down_bps
worst_1m,55665.999999999935,-91376.99999999994
worst_3m,113337.99999999996,-176060.9999999999
worst_6m,171657.99999999988,-163016.99999999997
worst_12m,156436.00000000006,-192982.99999999997
