horizon,count,p95_up_bps,p99_up_bps,p05_down_bps,p01_down_bps,max_up_bps,max_down_bps
native,117,25.00000000000002,49.99999999999997,-25.00000000000002,-25.00000000000002,50.00000000000004,-25.00000000000002
monthly_eom,117,25.00000000000002,49.99999999999997,-25.00000000000002,-25.00000000000002,50.00000000000004,-25.00000000000002
