horizon,count,p95_up_bps,p99_up_bps,p05_down_bps,p01_down_bps,max_up_bps,max_down_bps
native,2470,633086.0999999999,724395.2399999999,-638589.0,-727331.3800000001,813075.0,-832975.0
monthly_eom,119,569651.7999999999,717164.1399999995,-596749.9,-738734.1400000001,743404.0,-816303.9999999999
