Model,N,Intercept,Beta,P-value,R-squared,Correlation
Regression 1: ΔGov10 (bps) ~ ΔBI Rate (bps),31,-0.002445165094339622,0.0027226650943396238,0.3067203530388434,0.035986652505835104,0.18970148261369815
Regression 2: ΔGov5 (bps) ~ ΔBI Rate (bps),31,-0.004450471698112565,0.0054804716981132,0.07859400894733845,0.10283758143739097,0.3206829921236722
Regression 3: ΔCorp5 (bps) ~ ΔBI Rate (bps),31,-0.010485318396225678,0.005118068396226415,0.03275861876144795,0.14775410744584305,0.3843879647515552
Regression 4: ΔSpread (bps) ~ ΔBI Rate (bps),31,-0.006034846698113113,-0.0003624033018867852,0.7482909567178757,0.003605987413978773,-0.06004987438770074
Regression 5: ΔCorp5 (bps) ~ ΔGov5 (bps),78,-0.02117418199833737,0.7347609356315004,1.6221499217023608e-36,0.878435858317871,0.9372490908599863
