Model,N,Dependent,Intercept,R-squared,Beta: d_bi_rate_bp,P-value: d_bi_rate_bp
Reg 1: ΔGov5 ~ ΔBI,117,d_gov5_bp,-1.2898360655737702,0.042373938932344424,0.4238557377049183,0.11591006446901388
Reg 2: ΔGov10 ~ ΔBI,117,d_gov10_bp,-1.2604371584699465,0.007560189610157586,0.15771803278688526,0.49030056285507273
Reg 3: ΔCorp5 ~ ΔBI,117,d_corp5_bp,-2.222832422586521,0.06496043122987816,0.43384808743169434,0.035710589456300255
Reg 4: ΔSpread ~ ΔBI,117,d_spread_bp,-0.9329963570127501,0.00013659347148309298,0.009992349726776059,0.921886912558906
Reg 5: IHSG return ~ ΔBI,117,ihsg_ret_pct,0.5517331590234928,0.011271885425789385,-0.02508433412947917,0.2761727892939002
