horizon,worst_up_bps,worst_down_bps
worst_1m,120.2800000000001,-55.34999999999998
worst_3m,138.06999999999985,-113.86999999999993
worst_6m,169.29999999999987,-132.10999999999987
worst_12m,163.50000000000003,-189.17000000000002
