date,Govt 10Y Yield,Corp 5Y Yield,Central Bank Rate
2016-03-31,,,
2016-04-30,0.19999999999997797,-0.8000000000000007,0.0
2016-05-31,15.000000000000036,12.299999999999844,-0.2500000000000002
2016-06-30,-40.30000000000111,-25.399999999999867,0.0
2016-07-31,-51.79999999999892,-52.799999999999955,0.0
2016-08-31,19.399999999999995,2.6999999999999247,-0.24999999999999953
2016-09-30,-6.899999999999995,4.100000000000126,-0.2500000000000002
2016-10-31,19.00000000000004,13.49999999999989,0.0
2016-11-30,92.49999999999989,107.09999999999997,0.0
2016-12-31,-24.299999999999944,-46.199999999999974,0.0
2017-01-31,-30.299999999999994,-30.69999999999995,0.0
2017-02-28,-9.600000000000009,2.1999999999999353,0.0
2017-03-31,-51.2999999999999,-48.29999999999997,0.0
2017-04-30,0.19999999999988916,-15.000000000000036,0.0
2017-05-31,-7.999999999999918,4.300000000000015,0.0
2017-06-30,-14.000000000000057,22.40000000000011,0.0
2017-07-31,13.700000000000045,-18.50000000000005,-0.2500000000000002
2017-08-31,-26.500000000000057,-49.500000000000014,-0.24999999999999953
2017-09-30,-18.69999999999994,-13.400000000000034,0.0
2017-10-31,30.899999999999928,29.69999999999997,0.0
2017-11-30,-29.39999999999996,-36.89999999999998,0.0
2017-12-31,-20.399999999999974,-10.999999999999943,0.0
2018-01-31,1.0999999999999233,-16.100000000000048,0.0
2018-02-28,27.700000000000014,22.499999999999964,0.0
2018-03-31,7.399999999999984,-7.099999999999973,0.0
2018-04-30,23.70000000000001,52.400000000000006,0.24999999999999953
2018-05-31,15.399999999999991,37.60000000000004,0.2500000000000002
2018-06-30,74.30000000000004,77.09999999999991,0.4999999999999998
2018-07-31,-4.800000000000093,5.300000000000082,0.0
2018-08-31,37.19999999999999,28.500000000000014,0.2500000000000002
2018-09-30,8.10000000000013,21.59999999999993,0.2500000000000002
2018-10-31,39.30000000000007,25.0,0.0
2018-11-30,-73.50000000000011,-56.10000000000008,0.24999999999999953
2018-12-31,13.100000000000023,-0.19999999999997797,0.0
2019-01-31,5.400000000000027,2.6000000000001577,0.0
2019-02-28,-25.00000000000009,-33.500000000000085,0.0
2019-03-31,-13.600000000000012,-37.5,0.0
2019-04-30,13.600000000000012,12.600000000000122,0.0
2019-05-31,22.200000000000042,27.499999999999947,0.0
2019-06-30,-65.40000000000106,-69.00000000000004,0.0
2019-07-31,0.9000000000010999,-5.6999999999999496,-0.24999999999999953
2019-08-31,-2.400000000000091,-3.4000000000000696,-0.2500000000000002
2019-09-30,-5.799999999999983,-6.599999999999984,-0.2500000000000002
2019-10-31,-29.099999999999948,-28.200000000000003,-0.24999999999999953
2019-11-30,6.899999999999995,8.300000000000018,0.0
2019-12-31,-2.7000000000010793,-11.100000000000065,0.0
2020-01-31,-40.19999999999895,-39.79999999999997,0.0
2020-02-29,24.200000000000088,5.700000000000038,-0.2500000000000002
2020-03-31,101.99999999999996,120.90000000000005,-0.2500000000000002
2020-04-30,-1.499999999999968,2.099999999999813,0.0
2020-05-31,-55.20000000000111,-44.59999999999988,0.0
2020-06-30,-12.5,-27.59999999999998,-0.24999999999999953
2020-07-31,-38.999999999998906,-60.79999999999997,-0.2500000000000002
2020-08-31,3.8999999999989043,-40.40000000000008,0.0
2020-09-30,6.6000000000010495,19.30000000000005,0.0
2020-10-31,-14.29999999999998,-8.300000000000018,0.0
2020-11-30,-59.90000000000002,-49.59999999999995,-0.2500000000000002
2020-12-31,-24.599999999999955,7.399999999999984,0.0
2021-01-31,31.49999999999995,-5.299999999999994,0.0
2021-02-28,34.10000000000002,51.19999999999996,-0.24999999999999953
2021-03-31,21.600000000000108,26.400000000000023,0.0
2021-04-30,-33.8000000000001,-29.800000000000004,0.0
2021-05-31,-3.1000000000000583,-14.799999999999969,0.0
2021-06-30,18.50000000000005,-9.10000000000002,0.0
2021-07-31,-32.299999999999955,-25.99999999999998,0.0
2021-08-31,-23.000000000000043,-13.400000000000034,0.0
2021-09-30,27.60000000000007,18.700000000000028,0.0
2021-10-31,-18.400000000001082,-15.100000000000069,0.0
2021-11-30,9.800000000001052,0.0,0.0
2021-12-31,10.099999999999998,1.3000000000000789,0.0
2022-01-31,8.099999999998886,15.999999999999925,0.0
2022-02-28,6.099999999999994,9.90000000000002,0.0
2022-03-31,23.900000000001054,29.100000000000037,0.0
2022-04-30,24.900000000000055,67.60000000000002,0.0
2022-05-31,4.899999999998883,-15.40000000000008,0.0
2022-06-30,20.20000000000106,4.500000000000082,0.0
2022-07-31,-5.199999999999871,41.89999999999996,0.0
2022-08-31,-8.000000000000096,-0.1000000000000334,0.24999999999999953
2022-09-30,26.30000000000008,11.400000000000166,0.5000000000000004
2022-10-31,16.09999999999996,45.399999999999885,0.4999999999999998
2022-11-30,-59.20000000000005,-78.30000000000004,0.4999999999999998
2022-12-31,-2.400000000001068,-22.699999999999942,0.2500000000000002
2023-01-31,-21.899999999998876,15.09999999999998,0.2500000000000002
2023-02-28,17.899999999999938,25.799999999999912,0.0
2023-03-31,-6.99999999999994,-16.599999999999948,0.0
2023-04-30,-27.89999999999999,-14.999999999999947,0.0
2023-05-31,-14.400000000000013,-22.000000000000064,0.0
2023-06-30,-6.700000000000017,-8.499999999999996,0.0
2023-07-31,-5.700000000000038,3.8000000000000256,0.0
2023-08-31,11.300000000000043,18.700000000000028,0.0
2023-09-30,52.899999999999906,32.299999999999955,0.0
2023-10-31,16.20000000000017,53.19999999999992,0.24999999999999953
2023-11-30,-45.60000000000013,-43.19999999999986,0.0
