date,px,ret
2016-01-04,4525.92,
2016-01-05,4557.82,0.007048290734259499
2016-01-06,4608.98,0.01122466442290393
2016-01-07,4530.45,-0.017038477060000168
2016-01-08,4546.29,0.0034963414230375633
2016-01-11,4465.48,-0.01777493296732069
2016-01-12,4512.53,0.010536381307272746
2016-01-13,4537.18,0.005462567561877796
2016-01-14,4513.18,-0.005289629241070459
2016-01-15,4523.98,0.0023929911946785065
2016-01-18,4481.28,-0.009438591682545017
2016-01-19,4491.74,0.0023341545272779207
2016-01-20,4427.98,-0.014194944498123307
2016-01-21,4414.13,-0.0031278370724346916
2016-01-22,4456.74,0.009653091322638918
2016-01-25,4505.79,0.011005802447529023
2016-01-26,4510.47,0.0010386635861858728
2016-01-27,4583.63,0.016220039153347576
2016-01-28,4602.83,0.004188819778210728
2016-01-29,4615.16,0.002678786746414641
2016-02-01,4624.64,0.0020540999661984305
2016-02-02,4587.44,-0.008043869360642275
2016-02-03,4596.11,0.001889942974730996
2016-02-04,4665.82,0.015167173979734994
2016-02-05,4798.95,0.02853303385042727
2016-02-09,4768.62,-0.006320132528990663
2016-02-10,4732.48,-0.007578712499633045
2016-02-11,4775.86,0.009166441273919856
2016-02-12,4714.39,-0.012870980305117685
2016-02-15,4740.73,0.005587149132761482
2016-02-16,4745.0,0.0009007051656602094
2016-02-17,4765.51,0.004322444678609205
2016-02-18,4778.79,0.0027866901968518487
2016-02-19,4697.56,-0.01699802669713457
2016-02-22,4708.62,0.0023544137807711696
2016-02-23,4654.05,-0.011589382876511567
2016-02-24,4657.72,0.0007885605010689023
2016-02-25,4658.32,0.0001288183918310981
2016-02-26,4733.15,0.016063731130536274
2016-02-29,4770.96,0.007988337576455562
2016-03-01,4779.98,0.001890604825863118
2016-03-02,4836.2,0.011761555487679987
2016-03-03,4844.04,0.0016211074810801307
2016-03-04,4850.88,0.0014120444917877784
2016-03-07,4831.57,-0.003980721023814304
2016-03-08,4811.04,-0.004249136409076093
2016-03-10,4793.2,-0.0037081379493830724
2016-03-11,4813.78,0.00429358257531498
2016-03-14,4877.53,0.013243230891316182
2016-03-15,4849.78,-0.005689355062910906
2016-03-16,4861.44,0.002404232769321446
2016-03-17,4885.69,0.004988233938915121
2016-03-18,4885.71,4.0935875997849536e-06
2016-03-21,4885.16,-0.00011257319816371236
2016-03-22,4856.11,-0.005946581074110169
2016-03-23,4854.18,-0.00039743745508225015
2016-03-24,4827.09,-0.005580757203070386
2016-03-28,4773.63,-0.011074995494179785
2016-03-29,4781.3,0.0016067437149507313
2016-03-30,4816.65,0.007393386735824903
2016-03-31,4845.37,0.005962650389793822
2016-04-01,4843.19,-0.0004499140416521774
2016-04-04,4850.18,0.0014432636340926397
2016-04-05,4858.07,0.0016267437497163861
2016-04-06,4868.23,0.0020913655011145504
2016-04-07,4867.28,-0.0001951427931712324
2016-04-08,4846.7,-0.0042282342499301295
2016-04-11,4786.97,-0.012323849216992921
2016-04-12,4829.57,0.008899157504642652
2016-04-13,4853.01,0.0048534341566641714
2016-04-14,4814.85,-0.007863161213350067
2016-04-15,4823.57,0.0018110636883805764
2016-04-18,4865.53,0.008698951191752125
2016-04-19,4881.93,0.0033706502683161776
2016-04-20,4876.6,-0.0010917813241894114
2016-04-21,4903.09,0.005432063322806879
2016-04-22,4914.74,0.0023760526525109515
2016-04-25,4878.86,-0.007300487920012033
2016-04-26,4814.09,-0.013275642260692
2016-04-27,4845.66,0.006557833359991161
2016-04-28,4848.39,0.0005633907455331322
2016-04-29,4838.58,-0.002023352081825136
2016-05-02,4808.32,-0.006253900937878476
2016-05-03,4812.26,0.0008194130174365988
2016-05-04,4822.6,0.0021486785834514688
2016-05-09,4749.31,-0.015197196532990453
2016-05-10,4763.11,0.002905685246909373
2016-05-11,4799.96,0.0077365418812498365
2016-05-12,4803.32,0.0007000058333819226
2016-05-13,4761.72,-0.008660676365513709
2016-05-16,4731.56,-0.0063338457532151615
2016-05-17,4729.16,-0.0005072322870259827
2016-05-18,4734.36,0.0010995610214075136
2016-05-19,4704.22,-0.006366224790679054
2016-05-20,4711.88,0.0016283252058788555
2016-05-23,4743.66,0.006744653938555167
2016-05-24,4710.78,-0.00693135680044521
2016-05-25,4772.98,0.013203758188665038
2016-05-26,4784.56,0.0024261572434833845
2016-05-27,4814.73,0.0063057000016719655
2016-05-30,4836.03,0.004423924082970432
2016-05-31,4796.87,-0.008097551090460509
2016-06-01,4839.67,0.00892248487034264
2016-06-02,4833.23,-0.0013306692398449282
2016-06-03,4853.92,0.004280781175321824
2016-06-06,4896.02,0.008673402116227802
2016-06-07,4933.99,0.007755278777455743
2016-06-08,4916.06,-0.0036339757478226486
2016-06-09,4876.79,-0.007988104294902931
2016-06-10,4848.06,-0.0058911702164742286
2016-06-13,4807.23,-0.00842192547121956
2016-06-14,4821.59,0.0029871672460024534
2016-06-15,4814.82,-0.001404101136762037
2016-06-16,4814.39,-8.930759613012818e-05
2016-06-17,4835.14,0.0043099956588477095
2016-06-20,4863.53,0.005871598340482231
2016-06-21,4878.71,0.0031211897531218113
2016-06-22,4896.85,0.003718195998532403
2016-06-23,4874.31,-0.004602959045100441
2016-06-24,4834.57,-0.00815294882762907
2016-06-27,4836.05,0.00030612856986267367
2016-06-28,4882.17,0.00953670867753642
2016-06-29,4980.1,0.020058703404428835
2016-06-30,5016.65,0.007339210056022782
2016-07-01,4971.58,-0.008984083003597987
2016-07-11,5069.02,0.019599403006690164
2016-07-12,5099.53,0.006018914898737737
2016-07-13,5133.93,0.006745719703580733
