Model,N,Dependent,Intercept,R-squared,Beta: d_bi_rate_bp,P-value: d_bi_rate_bp,Beta: ihsg_ret_pct,P-value: ihsg_ret_pct,Beta: d_gov5_bp,P-value: d_gov5_bp,Beta: d_gov10_bp,P-value: d_gov10_bp,Beta: d_corp5_bp,P-value: d_corp5_bp
MF 1: ΔGov5 ~ ΔBI + IHSG return,117,d_gov5_bp,0.3716818018382449,0.16043319317781768,0.34831547214968434,0.16797975985403468,-3.011451895247188,0.008385019036530834,,,,,,
MF 2: ΔGov10 ~ ΔBI + IHSG return,117,d_gov10_bp,0.48114079628074957,0.17470123826609307,0.07853786640569221,0.7000172530571418,-3.1565584309507515,0.0003251518357230723,,,,,,
MF 3: ΔCorp5 ~ ΔBI + ΔGov5 + IHSG return,117,d_corp5_bp,-0.9833531196105901,0.8451142989030003,0.11430647998275867,0.12875920218554024,-0.5618054352911034,0.11612822305783743,0.7206439951674912,1.219020253521404e-65,,,,
MF 4: ΔSpread ~ ΔBI + ΔGov5 + IHSG return,117,d_spread_bp,-0.9833531196105914,0.3860507227348997,0.11430647998275799,0.1287592021855427,-0.561805435291104,0.116128223057837,-0.2793560048325089,3.284436961217899e-11,,,,
MF 5: IHSG return ~ ΔBI + ΔGov5 + ΔGov10 + ΔCorp5,117,ihsg_ret_pct,0.44148326788337844,0.187449778228455,-0.011540479525848536,0.6615466390346039,,,0.022480108243019332,0.32766410687073466,-0.04649926635546224,0.03589920457773949,-0.0362763029433038,0.4036406992109366
