window,cum_worst_up,cum_worst_down,gmean_worst_up,gmean_worst_down
1M,0.09441464208898598,-0.16758119830542662,0.09441464208898598,-0.16758119830542662
3M,0.22772502895253433,-0.2794823114068645,0.07078029348807724,-0.10350428991900207
6M,0.24876247886964564,-0.2642476212089284,0.03771948996088681,-0.049857788986418794
12M,0.31870727241883,-0.2983307465418411,0.02332213151757112,-0.029092839879746868
